"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,Navigation,"Profile visits","Link clicks","Sticker taps"
17910392022137617,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Me, my boy (ie the center of all my plans) and is, is that IMOGEN?!? #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",15,"05/29/2025 17:40",https://instagram.com/stories/hamletisntdead/3643555259000419850,"IG story",,Lifetime,132,111,2,0,0,43,,,
17895046125235907,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike The first lord during Posty’s speech 😭",32,"05/29/2025 17:34",https://instagram.com/stories/hamletisntdead/3643554489806980279,"IG story",,Lifetime,48,38,0,0,0,41,,,
17894902629227504,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","The Royal Court 👑 #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",0,"05/29/2025 17:17",https://instagram.com/stories/hamletisntdead/3643543531818723315,"IG story",,Lifetime,296,239,2,0,0,49,,,
18128928427391295,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","The Royal Couple 👸🏾👸🏾 #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",15,"05/29/2025 17:10",https://instagram.com/stories/hamletisntdead/3643539985249494579,"IG story",,Lifetime,46,40,1,0,0,43,2,,
18032013434398507,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Pisanio and Queen: BFFLs 🥹🫶🏾 #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",23,"05/29/2025 17:04",https://instagram.com/stories/hamletisntdead/3643538995821608344,"IG story",,Lifetime,48,41,1,0,0,46,,,
17859978696423004,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","There goes Posthumous, trying to sneak his way back into Britain AGAIN 🙄 @luigiscoolerbro  #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",6,"05/29/2025 17:02",https://instagram.com/stories/hamletisntdead/3643535777767071096,"IG story",,Lifetime,48,42,0,0,0,38,,,
18052714292367900,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","@ladymaudlin asking the important questions 🙂‍↕️ #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",14,"05/29/2025 16:14",https://instagram.com/stories/hamletisntdead/3643531067152455241,"IG story",,Lifetime,112,89,3,0,0,34,,,
18068362817507313,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",8,"05/29/2025 16:10",https://instagram.com/stories/hamletisntdead/3643511357287677013,"IG story",,Lifetime,45,38,0,0,0,36,,,
17920657163984658,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",25,"05/29/2025 16:07",https://instagram.com/stories/hamletisntdead/3643508527180886380,"IG story",,Lifetime,48,38,2,0,0,45,,,
18069497285060223,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike It’s you @ladymaudlin it’s always been you 😭 (Madeline is mad at me guys get her to forgive me)",15,"05/29/2025 16:03",https://instagram.com/stories/hamletisntdead/3643506455991743805,"IG story",,Lifetime,49,38,1,0,0,43,,,
18397120357118122,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike Thank you @unsureofmyname  you should be a casting director",60,"05/29/2025 16:01",https://instagram.com/stories/hamletisntdead/3643505416358037607,"IG story",,Lifetime,166,130,2,0,0,51,,,
18082657915685830,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","@the_temporary_synesthetic  #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",16,"05/29/2025 15:59",https://instagram.com/stories/hamletisntdead/3643503993708718308,"IG story",,Lifetime,200,159,2,0,0,39,,,
18073577008903037,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","@toomuch_tori @itsemmamueller",19,"05/29/2025 15:47",https://instagram.com/stories/hamletisntdead/3643498141077509659,"IG story",,Lifetime,49,39,1,0,0,45,,,
18082478446738447,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","One of my favorite fights  @reidywatson @unsureofmyname  Ft @ladymaudlin",8,"05/29/2025 15:45",https://instagram.com/stories/hamletisntdead/3643497395422573848,"IG story",,Lifetime,121,92,0,0,0,48,,,
18083267773731844,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","@feribluee @reidywatson @jmcicalese  #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",56,"05/29/2025 15:00",https://instagram.com/stories/hamletisntdead/3643474686982745950,"IG story",,Lifetime,152,124,3,0,0,55,,,
